resource_code,source_path,original_id,new_id,target_file,target_section_id,fallback
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166491054048,PREALG-UdTEZtXU4f,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166491054318,PREALG-BcaxECwe25,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166491297028,PREALG-KEFgCPbBI6,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166495279388,PREALG-vGmBgZK1az,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166497293821,PREALG-Sh5qJqbAwx,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166498114902,PREALG-VgoBbpULAc,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166879044214,PREALG-uLgxFChLbK,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1215290,PREALG-WgipZy0L7q,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,example
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1217108,PREALG-61BBtJwqWn,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1233682,PREALG-81CAAaovWU,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1236985,PREALG-9pbBC0PgmL,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1281704,PREALG-n3bxpEP51C,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1281981,PREALG-utF0yxwC4s,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1303539,PREALG-g83wbNeSfv,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1314946,PREALG-4OZHy03CET,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1321101,PREALG-zRUmCsSDj5,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,example
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1324442,PREALG-YDdbBw7LwZ,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1359973,PREALG-fQ5CIfJWlv,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,section
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1445896,PREALG-P3rmS4TME5,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1446746,PREALG-E8uwvfJzYN,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1452639,PREALG-sn70xW1P1k,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1455294,PREALG-Aydn5DROeP,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1467948,PREALG-ufUHb3rOs4,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1469991,PREALG-k699Ltc9UH,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1475348,PREALG-dXoaz8LU02,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1479992,PREALG-PSwyS7KZfK,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1496506,PREALG-xanZ0CKeVk,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1498505,PREALG-4duv3zyFue,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,example
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1507064,PREALG-TNEEkFcypI,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1511147,PREALG-sFF3kpBI3T,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1539293,PREALG-gts5pb8qUJ,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1559865,PREALG-JMLD6i86UL,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1681799,PREALG-xbFiqtqSP6,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1682558,PREALG-a5KCE5BhD1,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,section
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1684496,PREALG-Y6tTPPKAje,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1685054,PREALG-53UkmYXN0x,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1685962,PREALG-VVJTs9NXp3,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,section
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1686286,PREALG-6uctwFx8YD,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1739098,PREALG-FuVjqGmLYu,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1945008,PREALG-m35vtsJDK3,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,example
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1953032,PREALG-WE9yXNxsSw,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,example
PREALG,PREALG/modules/m81308/index.cnxml,fs-id866357,PREALG-pjS1b93bgM,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id899754,PREALG-QSa52FrHJa,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,example
PREALG,PREALG/modules/m81308/index.cnxml,fs-idm304729696,PREALG-WIDX75DSuG,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-idm308693856,PREALG-cSEcDwn2mj,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,exercise
PREALG,PREALG/modules/m81366/index.cnxml,CNX_IntAlg_Figure_02_05_001,PREALG-T52Qf8CQnD,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-graphing-inequalities-in-one-unknown.ptx,sec-graphing-inequalities-in-one-unknown-primary-prealg-fs-id1167831985734,xref
PREALG,PREALG/modules/m81366/index.cnxml,CNX_IntAlg_Figure_02_05_002,PREALG-tKx79x2qzx,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-graphing-inequalities-in-one-unknown.ptx,sec-graphing-inequalities-in-one-unknown-primary-prealg-fs-id1167831985734,xref
PREALG,PREALG/modules/m81366/index.cnxml,CNX_IntAlg_Figure_02_05_007,PREALG-ND6vEGjqwX,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-graphing-inequalities-in-one-unknown.ptx,sec-graphing-inequalities-in-one-unknown-primary-prealg-fs-id1167831985734,xref
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167826804444,PREALG-QqhMiXDUlq,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,media
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167828411035,PREALG-Iiocq73nqc,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,media
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167828421190,PREALG-rgf73QfTi5,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,media
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167828447049,PREALG-AsSPJWdmCR,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,exercise
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167830704524,PREALG-WZ89bWA4Gj,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,media
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167830924155,PREALG-f9ZY4Y0Smu,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,media
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167830960720,PREALG-xnvCS8HdSO,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-graphing-inequalities-in-one-unknown.ptx,sec-graphing-inequalities-in-one-unknown-primary-prealg-fs-id1167831985734,note
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167830961003,PREALG-E0JMrDjhP1,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-exercise-prealg-fs-id1167832055407,exercise
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167830963400,PREALG-EsAqgWVHwZ,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,media
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167831025106,PREALG-OYLMvRO63c,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,exercise
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167831112374,PREALG-d9Iq69sXuq,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,note
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167831871398,PREALG-7Yi5Co0CaZ,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,media
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167831872446,PREALG-QaYVRFY5TC,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,example
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167831895186,PREALG-q56K0yxX1u,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,media
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167831920268,PREALG-026yQr9Icj,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,note
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167831920272,PREALG-Ikw69qr4Yd,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,exercise
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167831922822,PREALG-Wkz4MRi9AP,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-exercise-prealg-fs-id1167832055407,exercise
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167832041553,PREALG-3QXx8KUq5k,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,media
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167832059733,PREALG-IiBpnLQzvD,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-exercise-prealg-fs-id1167832055407,exercise
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167832067399,PREALG-kzyayzVV6y,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-graphing-inequalities-in-one-unknown.ptx,sec-graphing-inequalities-in-one-unknown-primary-prealg-fs-id1167831985734,note
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167832076309,PREALG-9MR7VdPWeV,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,note
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167832076312,PREALG-sehesJOYDF,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,exercise
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167832153759,PREALG-kcHdBB8paN,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,exercise
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167834123782,PREALG-fip4tW1xxE,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,media
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167834138378,PREALG-6sAppnig3H,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,note
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167834156710,PREALG-CGFhDgiSqi,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,exercise
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167834184909,PREALG-aa5kGojron,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,example
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167834186297,PREALG-KILs6I9Vdf,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,note
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167834186300,PREALG-OltRUeeonC,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-simple-inequalities.ptx,sec-simple-inequalities-primary-prealg-fs-id1167834346402,exercise
PREALG,PREALG/modules/m81366/index.cnxml,fs-id1167834193336,PREALG-wSQSjZCPTb,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/03-linear-inequalities/sec-graphing-inequalities-in-one-unknown.ptx,sec-graphing-inequalities-in-one-unknown-primary-prealg-fs-id1167831985734,exercise
