collection_title,chapter_order,chapter_title,subcollection_path,module_order,module_id,module_title,row_type,section_order,section_level,section_id,section_title,source_path,Open Source Resource,ID,ID_resource,Textbook Name,Source URL,License,License URL,Original URL,Attribution Title
precalculus-2e,,,,1,m50919,Preface,module,,0,,,PRECALC/modules/m50919/index.cnxml,PRECALC,m50919,PRECALC-m50919,Open STAX Precalculus 2e,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/deed.en,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5/modules/m50919/index.cnxml,Preface
precalculus-2e,,,,1,m50919,Preface,section,1.0,2,eip-29,About OpenStax,PRECALC/modules/m50919/index.cnxml,PRECALC,eip-29,PRECALC-eip-29,Open STAX Precalculus 2e,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/deed.en,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5/modules/m50919/index.cnxml,About OpenStax
precalculus-2e,,,,1,m50919,Preface,section,2.0,2,eip-714,About OpenStax Resources,PRECALC/modules/m50919/index.cnxml,PRECALC,eip-714,PRECALC-eip-714,Open STAX Precalculus 2e,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/deed.en,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5/modules/m50919/index.cnxml,About OpenStax Resources
precalculus-2e,,,,1,m50919,Preface,section,3.0,3,fs-id6329471,Customization,PRECALC/modules/m50919/index.cnxml,PRECALC,fs-id6329471,PRECALC-fs-id6329471,Open STAX Precalculus 2e,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/deed.en,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5/modules/m50919/index.cnxml,Customization
precalculus-2e,,,,1,m50919,Preface,section,4.0,3,sect-00001,Art attribution,PRECALC/modules/m50919/index.cnxml,PRECALC,sect-00001,PRECALC-sect-00001,Open STAX Precalculus 2e,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/deed.en,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5/modules/m50919/index.cnxml,Art attribution
precalculus-2e,,,,1,m50919,Preface,section,5.0,3,eip-318,Errata,PRECALC/modules/m50919/index.cnxml,PRECALC,eip-318,PRECALC-eip-318,Open STAX Precalculus 2e,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/deed.en,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5/modules/m50919/index.cnxml,Errata
precalculus-2e,,,,1,m50919,Preface,section,6.0,3,eip-788,Format,PRECALC/modules/m50919/index.cnxml,PRECALC,eip-788,PRECALC-eip-788,Open STAX Precalculus 2e,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/deed.en,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5/modules/m50919/index.cnxml,Format
precalculus-2e,,,,1,m50919,Preface,section,7.0,2,eip-626,About Precalculus 2e,PRECALC/modules/m50919/index.cnxml,PRECALC,eip-626,PRECALC-eip-626,Open STAX Precalculus 2e,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/deed.en,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5/modules/m50919/index.cnxml,About Precalculus 2e
precalculus-2e,,,,1,m50919,Preface,section,8.0,3,eip-250,Coverage and Scope,PRECALC/modules/m50919/index.cnxml,PRECALC,eip-250,PRECALC-eip-250,Open STAX Precalculus 2e,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/deed.en,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5/modules/m50919/index.cnxml,Coverage and Scope
precalculus-2e,,,,1,m50919,Preface,section,9.0,3,eip-350,Development Overview,PRECALC/modules/m50919/index.cnxml,PRECALC,eip-350,PRECALC-eip-350,Open STAX Precalculus 2e,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/deed.en,https://github.com/openstax/osbooks-college-algebra-bundle/tree/e10e6b91143fe884c7c60dc0ad82ef23e1be0aa5/modules/m50919/index.cnxml,Development Overview
